1,Power Tools,Tools that require electricity or battery to operate
2,Garden Equipment,Equipment used for gardening and landscaping
3,Cleaning Equipment,Tools used for cleaning tasks
4,Construction Equipment,Tools used in construction and building projects
5,Outdoor Equipment,Equipment used for outdoor activities and sports
6,Office Equipment,Items used in an office setting for work or organization
7,Home Appliances,Electric appliances used in daily household tasks
8,Automotive Tools,Tools designed for vehicle maintenance and repairs
9,Workshop Equipment,Tools and machines used for woodworking, metalworking, and other crafts
10,Fitness Equipment,Tools used for physical fitness and exercise9844,TestFirst TestLast,oaijdsfaw,
3713,TestFirst TestLast,Test,TEST
